N2_thermo_1D,cp,h,u,mu,k
242.2110552763819,1041.8819797998813,251010.56730184823,179188.36020062046,1.51101341023719e-05,0.021649867725446168
243.21608040201005,1041.8587262431104,252057.6731401933,179936.03537194323,1.5160631198165725e-05,0.02172773242554881
244.2211055276382,1041.8359966326616,253104.75587183028,180683.69861481717,1.5211046394916087e-05,0.021805492380091995
245.22613065326632,1041.8137861885527,254151.81602091485,181431.35029446796,1.5261380021317235e-05,0.021883147979841616
246.23115577889448,1041.792090385609,255198.85410692723,182178.99077442897,1.531163240444642e-05,0.02196069961236587
247.2361809045226,1041.7709049473972,256245.87064492502,182926.62041672456,1.536180386976814e-05,0.022038147660984667
248.24120603015075,1041.7502258403274,257292.86614579064,183674.23958204963,1.5411894741138583e-05,0.022115492502725348
249.2462311557789,1041.73004926791,258339.84111647244,184421.84862994502,1.5461905340810217e-05,0.02219273450381413
250.25125628140702,1041.7103716651684,259386.79606021932,185169.4479189682,1.5511835989436545e-05,0.022269874007674047
251.25628140703517,1041.6911896931917,260433.73147681225,185917.03780686224,1.5561687006076995e-05,0.02234691129043445
252.2613065326633,1041.6725002338335,261480.64786278707,186664.61865071836,1.5611458708201984e-05,0.02242384611749562
253.26633165829145,1041.6543003845363,262527.54571165505,187412.19080713755,1.566115141169807e-05,0.022500680800866875
254.2713567839196,1041.6365874532878,263574.4255141165,188159.75463238673,1.57107654308733e-05,0.02257741560289484
255.27638190954775,1041.6193589536938,264621.2877582698,188907.3104825522,1.576030107846259e-05,0.022654049937692586
256.2814070351759,1041.6026126001764,265668.1329298157,189654.8587136896,1.5809758665633327e-05,0.022730584183976586
257.286432160804,1041.5863463032742,266714.96151225676,190402.3996819709,1.5859138501990985e-05,0.02280701871891654
258.29145728643215,1041.570558165054,267761.7739870927,191149.9337438275,1.590844089558492e-05,0.02288335391813391
259.2964824120603,1041.5552464746268,268808.57083400956,191897.46125609044,1.5957666152914216e-05,0.022959590155700677
260.30150753768845,1041.540409703758,269855.3525310664,192644.98257612783,1.600681457893364e-05,0.023035727804138432
261.3065326633166,1041.5260465025744,270902.11955487606,193392.49806197823,1.6055886477059698e-05,0.0231117672344178
262.3115577889447,1041.512155695361,271948.87238078285,194140.008072482,1.6104882149176762e-05,0.02318770881595805
263.31658291457285,1041.4987362764446,272995.61148303514,194887.51296740965,1.6153801895643294e-05,0.023263552916627135
264.321608040201,1041.4857874061613,274042.33733495435,195635.01310758613,1.62026460152981e-05,0.02333929990274181
265.32663316582915,1041.4733084069035,275089.05040909967,196382.50885501344,1.6251414805466733e-05,0.023414950139068153
266.3316582914573,1041.4612987592436,276135.75117742934,197130.0005729902,1.6300108561967863e-05,0.023490503988822256
267.3366834170854,1041.4497580981338,277182.4401114571,197877.48862622745,1.634872757911979e-05,0.023565961813671137
268.34170854271355,1041.4386862091746,278229.1176824062,198624.97338096373,1.639727214974699e-05,0.023641323973733957
269.3467336683417,1041.428083024953,279275.78436135827,199372.45520507454,1.6445742565186714e-05,0.023716590827583414
270.35175879396985,1041.417948621448,280322.4406193998,200119.93446818224,1.6494139115295623e-05,0.023791762732247278
271.356783919598,1041.4082832144984,281369.086927764,200867.4115417609,1.6542462088456483e-05,0.023866840043210245
272.3618090452261,1041.3990871563324,282415.72375796974,201614.88679923987,1.659071177158492e-05,0.023941823114415926
273.36683417085425,1041.3903609321562,283462.35158195737,202362.3606161044,1.6638888450136213e-05,0.024016712298269058
274.3718592964824,1041.382105156802,284508.97087222023,203109.83336999372,1.6686992408112064e-05,0.024091507945637813
275.37688442211055,1041.3743205714277,285555.58210193284,203857.30544079622,1.6735023928067503e-05,0.024166210405856366
276.3819095477387,1041.367008040275,286602.18574507744,204604.77721074343,1.6782983291117738e-05,0.024240820026727602
277.3869346733668,1041.3601685474744,287648.78227656474,205352.2490644995,1.68308707769451e-05,0.024315337154526
278.391959798995,1041.3538031939042,288695.37217235385,206099.72138925054,1.687868666380596e-05,0.024389762134000625
279.3969849246231,1041.3479131940967,289741.95590956754,206847.19457478996,1.6926431228537698e-05,0.024464095308378328
280.40201005025125,1041.3424998731916,290788.53396660514,207594.669013602,1.6974104746565704e-05,0.024538337019367033
281.4070351758794,1041.3375646639352,291835.1068232518,208342.14510094284,1.7021707491910365e-05,0.024612487607159214
282.4120603015075,1041.3331091037253,292881.6749607857,209089.62323491977,1.706923973719409e-05,0.02468654741043547
283.4170854271357,1041.3291348316986,293928.2388620817,209837.10381656757,1.711670175364837e-05,0.024760516766368208
284.4221105527638,1041.3256435858607,294974.7990117115,210584.58724992274,1.7164093811120768e-05,0.02483439601062551
285.42713567839195,1041.3226372002555,296021.35589604225,211332.07394209557,1.7211416178082043e-05,0.024908185477375066
286.4321608040201,1041.3201176021785,297067.9100033315,212079.56430334048,1.7258669121633172e-05,0.024981885499288217
287.43718592964825,1041.3180868094257,298114.46182381967,212827.05874712314,1.730585290751246e-05,0.025055496407544148
288.4422110552764,1041.3165469275825,299161.0118498189,213574.55769018625,1.735296780010257e-05,0.025129018531834135
289.4472361809045,1041.3155001473494,300207.5605758009,214322.06155261287,1.740001406243763e-05,0.025202452200365908
290.45226130653265,1041.3149487419037,301254.10849848087,215069.57075788797,1.744699195621034e-05,0.025275797739868145
291.4572864321608,1041.314895064299,302300.65611689864,215817.08573295706,1.7493901741779e-05,0.025349055475594958
292.46231155778895,1041.3153415448978,303347.2039324982,216564.6069082837,1.7540743678174616e-05,0.02542222573133059
293.4673366834171,1041.3162906888397,304393.75244920363,217312.13471790418,1.758751802310799e-05,0.0254953088293941
294.4723618090452,1041.3177450735423,305440.3021734936,218059.669599481,1.7634225032976737e-05,0.02556830509064413
295.47738693467335,1041.319707346236,306486.8536144722,218807.21199435336,1.7680864962872408e-05,0.025641214834483863
296.4824120603015,1041.3221802215319,307533.40728393843,219554.76234758663,1.772743806658753e-05,0.02571403837886586
297.48743718592965,1041.3251664790212,308579.963696452,220302.32110801863,1.777394459662262e-05,0.025786776040297155
298.4924623115578,1041.3286689609063,309626.523369398,221049.88872830538,1.7820384804193252e-05,0.02585942813384423
299.4974874371859,1041.332690569662,310673.08682304836,221797.46566496367,1.786675893923709e-05,0.02593199497313829
300.50251256281405,1041.33723426573,311719.65458062175,222545.0523784131,1.7913067250420865e-05,0.0260044768703803
301.5075376884422,1041.3423030652427,312766.22716834024,223292.64933301436,1.795930998514739e-05,0.026076874136346326
302.51256281407035,1041.3479000377736,313812.8051154838,224040.25699710712,1.8005487389562572e-05,0.02614918708039285
303.5175879396985,1041.3540283041225,314859.3889544437,224787.87584304562,1.805159970856234e-05,0.026221416010462045
304.5226130653266,1041.3606910341284,315905.9792207725,225535.50634723247,1.809764718579962e-05,0.02629356123308723
305.52763819095475,1041.3678914445074,316952.57645323215,226283.14899015037,1.814363006369127e-05,0.026365623053398308
306.5326633165829,1041.375632796725,317999.1811938404,227030.80425639238,1.8189548583424965e-05,0.0264376017751272
307.53768844221105,1041.3839183948928,319045.79398791393,227778.47263469006,1.823540298496615e-05,0.026509497700613453
308.5427135678392,1041.3927515836956,320092.41538411134,228526.15461794025,1.8281193507064877e-05,0.026581311130809738
309.5477386934673,1041.402135746344,321139.04593447153,229273.85070322972,1.8326920387262668e-05,0.026653042365287455
310.5527638190955,1041.4120743025564,322185.6861944531,230021.56139185882,1.837258386189935e-05,0.02672469170224238
311.5577889447236,1041.4225707065693,323232.3367229681,230769.2871893619,1.8418184166119887e-05,0.026796259438500305
312.56281407035175,1041.4336284451708,324278.9980824173,231517.0286055281,1.8463721533881155e-05,0.026867745869522768
313.5678391959799,1041.4452510357662,325325.670838721,232264.7861544185,1.8509196197958692e-05,0.026939151289412676
314.572864321608,1041.457442024466,326372.35556134913,233012.5603543833,1.8554608389953497e-05,0.027010475990920182
315.5778894472362,1041.4702049842044,327419.0528233499,233760.3517280766,1.859995834029867e-05,0.027081720265448313
316.5829145728643,1041.4835435128798,328465.7632013738,234508.16080246848,1.8645246278266174e-05,0.027152884403058825
317.58793969849245,1041.4974612315264,329512.4872757003,235255.98810885838,1.8690472431973488e-05,0.027223968692478027
318.5929648241206,1041.5119617825078,330559.22563025844,236003.83418288382,1.8735637028390202e-05,0.02729497342110251
319.59798994974875,1041.5270488277404,331605.978852648,236751.69956452958,1.8780740293344705e-05,0.027365898875005092
320.6030150753769,1041.5427260469392,332652.747534158,237499.58479813422,1.8825782451530712e-05,0.027436745338940575
321.608040201005,1041.5589971358916,333699.5322697839,238247.4904323961,1.8870763726513885e-05,0.027507513096351705
322.61306532663315,1041.5758658047557,334746.33365824324,238995.41702037692,1.8915684340738297e-05,0.027578202429374945
323.6180904522613,1041.593335776385,335793.1523019886,239743.36511950483,1.8960544515533003e-05,0.027648813618846444
324.62311557788945,1041.611410784678,336839.9888072197,240491.33529157462,1.9005344471118478e-05,0.027719346944307888
325.6281407035176,1041.6300945729524,337886.84378389415,241239.3281027485,1.905008442661307e-05,0.027789802684012384
326.6331658291457,1041.6493908923458,338933.71784573514,241987.34412355325,1.9094764600039428e-05,0.027860181114930466
327.63819095477385,1041.6693035002406,339980.6116102399,242735.38392887838,1.9139385208330898e-05,0.02793048251275584
328.643216080402,1041.6898361587137,341027.5256986839,243483.4480979705,1.9183946467337872e-05,0.028000707151911497
329.64824120603015,1041.7109926330108,342074.4607361254,244231.537214428,1.9228448591834102e-05,0.02807085530555545
330.6532663316583,1041.7327766900476,343121.4173514079,244979.65186619398,1.927289179552305e-05,0.028140927245586797
331.6582914572864,1041.755192096932,344168.3961771606,245727.79264554745,1.9317276291044102e-05,0.028210923242651533
332.66331658291455,1041.7782426195147,345215.3978497989,246475.96014909426,1.9361602289978833e-05,0.028280843566148545
333.6683417085427,1041.801932020959,346262.4230095211,247224.15497775536,1.940587000285723e-05,0.02835068848423549
334.67336683417085,1041.826264060342,347309.4723003061,247972.3777367552,1.945007963916383e-05,0.028420458263834724
