N2O_sat_1D,psat,rhoL,rhoV,hL,hV,uL,uV,cpL,cpV,muL,muV,kL,kV
203.7559798994975,280626.76974169555,1172.7214422147072,7.7076289791764685,33057.24705256845,384820.52015895996,32817.95171810972,348411.5582719923,1744.0799474369003,890.9622508262315,0.00022431604070292967,1.0259223522454628e-05,0.18061888085095296,0.010312652333768836
204.39010050251258,289219.57110116276,1170.7382637452374,7.9287303859654,34166.92165463983,385139.6674671961,33919.88132115322,348662.2546883503,1745.379143545221,894.3274839323094,0.00022218466498047777,1.029569627182659e-05,0.1798565697008983,0.010362579387274296
205.02422110552766,298012.6000816247,1168.7503757469012,8.154678501649622,35277.48236098299,385456.5416796149,35022.49840010839,348911.55710157595,1746.7103590135418,897.7250052726178,0.00022008473685994763,1.0332252334853454e-05,0.17909500305069823,0.010412743781781824
205.6583417085427,307008.8862506301,1166.7577176616423,8.385547308785217,36388.94914294413,385771.1174056808,36125.819204651605,349159.44795282296,1748.0738527094732,901.1550751607011,0.00021801558630299658,1.0368892843685708e-05,0.17833417681502042,0.010463148733308602
206.29246231155778,316211.4745087597,1164.7602282652922,8.621411577652264,37501.34208115621,386083.3690795215,37229.86004834359,349405.90951727214,1749.4698936667205,904.6179676980436,0.000215976559467997,1.040561894924762e-05,0.17757408698311855,0.010513797544496826
206.92658291457286,325623.42485775304,1162.7578456507083,8.862346882050197,38614.68136990854,386393.27095189615,38334.63731251882,349650.92389739415,1750.8987613256932,908.113971282756,0.00021396701826529191,1.044243182175475e-05,0.17681472962021855,0.010564693607081701
207.56070351758794,335247.81216758466,1160.75050721047,9.108429615707301,39728.98732160659,386700.79708200594,39440.167450251756,349894.47301610163,1752.3607457838941,911.6433891266435,0.00021198633992551853,1.0479332651250395e-05,0.17605610086885748,0.010615840404432711
208.19482412060302,345087.72594928724,1158.7381496191213,9.359737009322098,40844.280371328336,387005.9213291467,40546.4669903995,350136.5386097883,1753.8561480563562,915.206539781294,0.00021003391658057556,1.0516322648161634e-05,0.1752981969501826,0.010667241514171049
208.8289447236181,355146.27013339696,1156.7207088149414,9.616347148255327,41960.581081478944,387308.6173441956,41653.55254172258,350377.10222124873,1755.3852803466796,918.8037576738526,0.0002081091548568211,1.0553403043875517e-05,0.17454101416521894,0.010718900610865995
209.46306532663317,365426.56284622,1154.698119981226,9.878338990888547,43077.91014654712,387608.8585609343,42761.44079709311,350616.145192482,1756.94846632906,922.4353936531122,0.0002062114754801128,1.059057509133605e-05,0.17378454889611136,0.010770821468813307
210.09718592964825,375931.73619647935,1152.6703175270634,10.145792387672438,44196.288397967975,387906.6181871992,43870.148537784014,350853.6486573692,1758.5460414418058,926.1018155467538,0.00020434031289231114,1.062784006566264e-05,0.17302879760734677,0.010823007964898837
210.73130653266333,386664.9360600742,1150.637235067576,10.418788100881553,45315.73680909775,388201.8691958578,44979.69263785435,351089.5935342267,1760.1783531928581,929.8034087304221,0.00020249511487886854,1.0665199264790671e-05,0.1722737568469596,0.01087546408155069
211.3654271356784,397629.3218742201,1148.5988054036268,10.69740782509944,46436.276500304826,388494.58431560564,46090.090068625155,351323.9605182282,1761.8457614778206,933.5405767095361,0.00020067534220716163,1.0702654010134965e-05,0.17151942324772732,0.010928193909783447
211.99954773869348,408828.06643059716,1146.5549605009398,10.981734208454206,47557.92874417922,388784.73602157814,47201.35790325592,351556.7300736918,1763.548638911087,937.3137417146551,0.00019888046827521477,1.074020564727687e-05,0.17076579352835866,0.010981201652338258
212.63366834170856,420264.35567811254,1144.5056314686472,11.271850874629829,48680.71497087214,389072.2965257695,48313.51332142388,351787.88242622715,1765.287371170608,941.1233453113779,0.00019710997877048998,1.0777855546675766e-05,0.1700128644946782,0.011034491626922525
213.26778894472363,431941.3885250905,1142.4507485372092,11.567842445673579,49804.65677355933,389357.2377672584,49426.57361410746,352017.39755473845,1767.0623573569744,944.9698490256703,0.00019536337133841587,1.0815605104405751e-05,0.16926063304080877,0.011088068269553436
213.90190954773868,443862.3766492929,1140.390241035704,11.869794565629403,50929.77591404476,389639.5314022253,50540.55618848294,352245.25518327585,1768.874010367426,948.8537349857355,0.00019364015526035549,1.0853455742918553e-05,0.16850909615035736,0.011141936138009604
214.5360301507538,456030.5443112672,1138.3240373684475,12.177793925020096,52056.09432850794,389919.1487937622,51655.47857294022,352471.43477273145,1770.7227572854713,952.7755065814563,0.00019193985114069977,1.0891408911833388e-05,0.1677582508976026,0.011196099915395401
215.17015075376884,468449.1281719974,1136.2520649909288,12.49192828620614,53183.63413339216,390196.06100146164,52771.35842221381,352695.91551237204,1772.6090397868668,956.7356891425427,0.00019026199060281942,1.0929466088754746e-05,0.16700809444869255,0.011250564413822656
215.80427135678391,481121.37711730425,1134.174250385025,12.81228650965282,54312.41763145382,390470.2387707778,53888.21352264605,352918.6763112013,1774.5333145626892,960.7348306366539,0.0001886061159935692,1.0967628780119289e-05,0.1662586240628454,0.011305334578215023
216.438391959799,494050.55208454543,1132.0905190334697,13.138958581131503,55442.467317965704,390741.6525221541,55006.061797578215,353139.69578914635,1776.496053760333,964.7735023886773,0.00018697178009609286,1.1005898522072632e-05,0.16550983709356348,0.011360415490240042
217.07251256281407,507239.92589669285,1130.0007953935465,13.472035639890182,56573.80588709037,391010.27233990084,56124.921312880804,353358.9522680578,1778.497745443242,968.8522998225698,0.00018535854585066891,1.1044276881377287e-05,0.16476173098985897,0.011415812372374712
217.70663316582915,520692.78310080303,1127.9050028699723,13.811610007824331,57706.45623842692,391276.0679608214,57244.81028262755,353576.42376251775,1780.5388940703015,972.9718432271289,0.00018376598608332197,1.1082765456352906e-05,0.16401430329748948,0.011471530592110443
218.34075376884422,534412.4198099648,1125.8030637869388,14.157775219683128,58840.4414837361,391539.0087625686,58365.74707491798,353792.08797044534,1782.6200209958333,977.132778547192,0.00018219368324198248,1.1121365877849953e-05,0.16326755166020998,0.011527575666303608
218.9748743718593,548402.1435547983,1123.6948993592782,14.510626054348226,59975.78495385922,391799.0637517268,59487.75021785794,354005.9222634919,1784.741664991156,981.33577820184,0.00018064122913994115,1.116007981025816e-05,0.16252147382103924,0.01158395326567832
219.60899497487438,562665.2731355866,1121.5804296627166,14.870258567221219,61112.51020582707,392056.20155159966,60610.83840570054,354217.90367721306,1786.904382788804,985.5815419312175,0.0001791082247063736,1.1198908952551035e-05,0.1617760676235431,0.011640669219488371
220.24311557788945,577205.1384839019,1119.4595736031752,15.236770123761717,62250.64103018004,392310.3903897,61735.03050516031,354428.0089010117,1789.1087496504974,989.8707976737549,0.0001775942797437047,1.123785503936787e-05,0.16103133101313075,0.011697729520345715
220.87723618090453,592025.0805269787,1117.3322488850788,15.61025943421581,63390.201458497046,392561.59808492154,62860.34556190252,354636.2142678377,1791.3553599600302,994.2043024755693,0.00017609901269162586,1.1276919842134685e-05,0.1602872620383775,0.011755140329223214
221.5113567839196,607128.4510606237,1115.1983719786344,15.990826589581507,64531.21577115105,392809.7920343812,63986.80280721942,354842.4957436332,1793.6448278423386,998.5828434340527,0.00017462205039751216,1.1316105170225696e-05,0.15954385885235609,0.011812907980639931
222.1454773869347,622518.6126261447,1113.0578580860301,16.378573098853913,65673.70850529466,393054.939199917,65114.421664899324,355046.8289165123,1795.9777878100515,1003.007238677602,0.00017316302789308332,1.135541287216687e-05,0.1588011197139969,0.011871038988037569
222.77959798994976,638198.9383932443,1110.9106211065089,16.773601927600303,66817.70446308811,393297.0060942259,66243.22175829808,355249.1889856626,1798.3548954389337,1007.4783383836917,0.00017172158817707926,1.1394844836883341e-05,0.15805904298946102,0.011929540049357224
223.4137185929648,654172.8120506366,1108.7565736002707,17.176017537917176,67963.22872018405,393535.9587666235,67373.22291762411,355449.5507499528,1800.7768280736482,1011.9970258375915,0.0001702973820037792,1.1434402994992443e-05,0.15731762715353764,0.0119884180528263
224.04783919597992,670443.6277013668,1106.5956267511533,17.585925929819766,69110.30663447137,393771.76278841123,68504.44518744061,355647.8885962354,1803.2442855654674,1016.5642185340625,0.0001688900676771771,1.1474089320144269e-05,0.15657687079106306,0.012047680082965665
224.68195979899497,687014.7897652198,1104.427690328031,18.003434684121206,70258.96385509739,394004.3832378297,69636.9088344005,355844.1764873265,1805.7579910435284,1021.1808693246102,0.00016749931085063515,1.151390583041174e-05,0.15583677259836112,0.012107333426828005
225.31608040201004,703889.7128874527,1102.2526726448818,18.428653006862156,71409.22633178026,394233.7846845808,70770.63435522513,356038.3879496494,1808.3186917214125,1025.847967613004,0.00016612478433183336,1.1553854589732294e-05,0.1550973313847029,0.012167385580478966
225.95020100502512,721071.8218542896,1100.07048051946,18.86169177534997,72561.12032441808,394459.93117389706,71905.64248493112,356230.4960605234,1810.927159740907,1030.5665406018575,0.00016476616741832676,1.1593937709403397e-05,0.15435854581105407,0.01222784425573317
226.5843216080402,738564.5515144195,1097.881019230514,19.30266358587322,73714.67241301372,394682.7862101394,73041.95420532298,356420.4734350831,1813.5841930549195,1035.3376545932858,0.00016342314767161975,1.1634157349634162e-05,0.15362041547415672,0.012288717387158015
227.21844221105528,756371.3467088634,1095.6841924734795,19.75168280316346,74869.9095079305,394902.3127398952,74179.5907537634,356608.2922128056,1816.2906163516268,1040.162416346888,0.00016209541770207634,1.167451572115564e-05,0.15288293923444682,0.012350013139359137
227.85256281407035,774495.6622065149,1093.479902314584,20.208865611670745,76026.85886048934,395118.47313456197,75318.57363223127,356793.92404363176,1819.047282022095,1045.0419744983237,0.0001607826770847375,1.1715015086892195e-05,0.15214611636809322,0.012411739914561798
228.48668341708543,792940.9626467407,1091.2680491432848,20.67433006873377,77185.54807392356,395331.22917238204,76458.9246166811,356977.34007365647,1821.855071173748,1049.9775210421592,0.00015948463164765692,1.1755657763696886e-05,0.15140994627188817,0.012473906360503884
229.1208040201005,811710.7224901812,1089.0485316229658,21.148196159721927,78346.00511471152,395540.54201990936,77600.66576672073,357158.51093036967,1824.714894692149,1054.9702928827178,0.0001582009933053393,1.1796446124153543e-05,0.1506744284648514,0.012536521378656634
229.75492462311558,830808.4259764849,1086.8212466398134,21.630585855236482,79508.25832430267,395746.37221287657,78743.81943562145,357337.40670742374,1827.6276943538016,1060.0215734570272,0.00015693147989641283,1.1837382598448764e-05,0.14993956258986005,0.012599594132790708
230.38904522613066,850237.567089517,1084.5860892497844,22.12162317045555,80672.33643125137,395948.67963643523,79888.40828067217,357513.9969489046,1830.5944439928026,1065.1326944340597,0.00015567581502538556,1.1878469676316821e-05,0.14920534841529695,0.012663134057905789
231.02316582914574,870001.6495303062,1082.3429526235727,22.621434226719703,81838.26856378432,396147.42350474047,81034.45527390107,357688.25063308334,1833.6161507243683,1070.3050374948693,0.00015443372790837858,1.1919709909061043e-05,0.1484717858367311,0.012727150869543487
231.6572864321608,890104.1866972588,1080.0917279894854,23.13014731545791,83006.08426281724,396342.5623398415,82181.9837131777,357860.1361556176,1836.6938562284442,1075.5400361984846,0.00015320495322268069,1.1961105911655176e-05,0.1477388748786182,0.012791654573504363
232.2914070351759,910548.7016765625,1077.8323045741256,23.647892964555126,84175.81349544603,396534.0539498526,83331.01723371555,358029.62131218024,1839.8286380968188,1080.8391779386309,0.00015198923096001936,1.2002660364928485e-05,0.14700661569603002,0.012856655475991172
232.92552763819094,931338.7272375944,1075.5645695407738,24.174804007274368,85347.48666892719,396721.8554063605,84481.57981999179,358196.6732804821,1843.02161124745,1086.2040059968253,0.00015078630628340874,1.2044376017838611e-05,0.14627500857640394,0.01292216419420189
233.55964824120605,952477.8058395288,1073.2884079253588,24.711015653846875,86521.1346451833,396905.9230210394,85633.69581811104,358361.2586016626,1846.2739294098083,1091.6361216976136,0.00014959592938747104,1.2086255689836414e-05,0.14554405394132408,0.012988191667397626
234.1937688442211,973969.489644534,1071.0037025698944,25.256665565857737,87696.78875584694,397086.2123214229,86787.38994862764,358523.34316100966,1849.5867866854896,1097.1371866722611,0.00014841785536209983,1.2128302273327252e-05,0.14481375234832317,0.013054749168472178
234.82788944723617,995817.3405412869,1068.7103340532678,25.811893933551858,88874.4808178796,397262.6780258023,87942.68731985617,358682.8921679822,1852.9614191884784,1102.7089252374262,0.0001472518440593656,1.217051873623348e-05,0.14408410449271225,0.013121848316051567
235.46201005025125,1018024.9301760321,1066.4081806192319,26.376843556199606,90054.24314978457,397435.27401719947,89099.61344168827,358839.87013549375,1856.3991067698205,1108.3531268959434,0.00014609765996353714,1.221290812466308e-05,0.14335511120943265,0.01318950108715386
236.09613065326633,1040595.8399947274,1064.097118101477,26.951659925670082,91236.1085884502,397603.9533163696,90258.19423994474,358994.2408584208,1859.9011748317675,1114.0716489673039,0.0001449550720641253,1.2255473565689857e-05,0.14262677347493669,0.0132577198304417
236.7302512562814,1063533.6612910198,1061.7770198456155,27.536491313361303,92420.11050665252,397768.66805378476,91418.45607129314,359145.9673912967,1863.468996236852,1119.8664193558557,0.00014382385373183076,1.2298218270250742e-05,0.14189909240909018,0.013326517280101922
237.36437185929648,1086841.9952696576,1059.447756627947,28.13148886065234,93606.28283125116,397929.3694405465,92580.42573875148,359295.0120251476,1867.103993317592,1125.7394394653693,0.00014270378259730317,1.2341145536166185e-05,0.14117206927710346,0.013395906570388963
237.99849246231156,1110524.453113351,1057.1091965708085,28.736806673049287,94794.66006211104,398086.00773817295,93744.13050781729,359441.33626342716,1870.8076399931726,1131.6927872692215,0.0001415946404325917,1.2384258751289994e-05,0.14044570549148186,0.013465901250871404
238.63261306532664,1134584.6560638088,1054.7612050543553,29.352601918209302,95985.27729179154,398238.5322271985,94909.59812324899,359584.9007969999,1874.5814639996352,1137.728620546108,0.00014049621303521023,1.2427561396795353e-05,0.13972000261400466,0.013536515302423575
239.26673366834171,1159026.23551309,1052.4036446245782,29.97903492803314,97178.17022603951,398386.8911745283,96076.85682653436,359725.6654781251,1878.4270492407454,1143.8491802918218,0.00013940829011469926,1.2471057050604085e-05,0.13899496235772674,0.013607763154006877
239.9008542713568,1183852.833103462,1050.0363748973516,30.616269305035164,98373.37520512867,398531.03179948096,97245.93537408549,359863.5892933885,1882.3460382671979,1150.0567943185313,0.00013833066518160057,1.251474939096686e-05,0.13827058658900623,0.013679659700288897
240.53497487437187,1209068.1008406978,1047.6592524583132,31.264472033204154,99570.92922609113,398670.9002384502,98416.8630561951,359998.6303355238,1886.340134892343,1156.3538810536497,0.00013726313543873704,1.2558642200202233e-05,0.13754687732955007,0.01375222032015124
241.16909547738692,1234675.7012160493,1045.2721307583413,31.923813593591635,100770.86996588591,398806.4415081111,99589.66971679834,360130.7457740661,1890.4111069532432,1162.7429535514912,0.00013620550167471726,1.260273936860328e-05,0.13682383675848947,0.013825460896141234
241.80321608040202,1260679.307343734,1042.8748600043984,32.594468084871174,101973.23580555692,398937.599467093,100764.38577407911,360259.8918247709,1894.5607892264986,1169.2266237317133,0.00013515756815956216,1.2647044898520924e-05,0.13610146721447314,0.01389939783492596
242.43733668341707,1287082.6031052456,1040.4672870454792,33.276613349124815,103178.06585543195,399064.31677604094,101941.04224197453,360386.02371773723,1898.7910865091128,1175.807606859575,0.00013411914254236776,1.2691562908633354e-05,0.13537977119778682,0.01397404808881128
243.07145728643215,1313889.2833115584,1038.049255253408,33.9704311031455,104385.39998142053,399186.5348559699,103119.67075261739,360509.0956641566,1903.103976875187,1182.4887262844566,0.00013309003575090735,1.2736297638412456e-05,0.1346587513724911,0.014049429178393752
243.70557788944723,1341103.0538735099,1035.6206043981792,34.67610707553921,105595.27883247069,399304.19384482637,104300.30357977877,360629.06082161755,1907.5015151203997,1189.2729184539426,0.00013207006189308826,1.27812534527977e-05,0.1339384105685829,0.014125559216417049
244.3396984924623,1368727.631988099,1033.1811705175533,35.3938311499487,106807.7438692458,399417.2325521532,105482.97366335591,360745.871257882,1911.985836406855,1196.1632382224395,0.00013105903816017515,1.2826434847089622e-05,0.13321875178418116,0.014202456932910806
244.97381909547738,1396766.746337479,1030.7307857805747,36.123797514730995,108022.83739409536,399525.5884117549,106667.7146349748,360859.4779130503,1916.5591601220376,1203.1628644746136,0.00013005678473168136,1.2871846452075272e-05,0.132499778187728,0.01428014170169487
245.60793969849246,1425224.1373016392,1028.2692783446591,36.86620481944643,109240.60258238808,399629.1974322513,107854.56084476464,360969.83056002087,1921.2237939666609,1210.2751060855903,0.00012906312468184697,1.2917493039399104e-05,0.1317814931202131,0.014358633568338422
246.24206030150754,1454103.5571871712,1025.7964722058928,37.62125633853918,110461.08351528682,399727.9941453971,109043.54738937264,361076.87776314956,1925.9821382873183,1217.503408241585,0.00012807788388761632,1.2963379527193528e-05,0.13106390009742122,0.014437953279669924
246.8761809045226,1483408.7704684602,1023.3121870421367,38.389160142614536,111684.32521404474,399821.9115520459,110234.71014129142,361180.5668350048,1930.8366906712406,1224.8513591465523,0.00012710089093801802,1.300951098598448e-05,0.1303470028121972,0.01451812231494116
247.5103015075377,1513143.5540469245,1020.8162380485209,39.17012927775126,112910.37367591712,399910.88106561603,111428.08577957685,361280.8437911065,1935.7900508217413,1232.3226971425852,0.0001261319770448644,1.3055892644888424e-05,0.1296308051367327,0.01459916291875673
248.14442211055277,1543311.6975252272,1018.3084357648736,39.964381953303466,114139.27591177888,399994.8324529204,112623.71182203821,361377.6533025342,1940.84492573456,1239.9213182739013,0.00012517097595467823,1.3102529898118105e-05,0.12891531112487511,0.014681098135888195
248.77854271356784,1573917.0034984516,1015.7885858946041,40.772141738696924,115371.07998554705,400073.6937721998,113821.62665898472,361470.9386462741,1946.0041351969487,1247.6512843270098,0.00012421772386175337,1.3149428311816002e-05,0.12820052501445564,0.01476395184810227
249.4126633165829,1604963.2878628005,1013.256489114523,41.59363776974203,116605.83505552202,400147.3913081988,115021.86958862888,361560.64165317547,1951.2706176331976,1255.5168313821223,0.000123272059322262,1.3196593631235459e-05,0.12748645122964164,0.014847748813141711
250.046783919598,1636454.380141637,1010.7119408750438,42.42910496503405,117843.59141775679,400215.8495041058,116224.48085424169,361646.7026533682,1956.647436322303,1263.522378914039,0.0001223338231693131,1.3244031788291108e-05,0.1267730943833137,0.014932514706008981
250.68090452261305,1668394.1238320405,1008.1547311901805,43.27878425304734,119084.40055158405,400278.99089016765,117429.50168317085,361729.0604189904,1962.1377860156542,1271.6725394839532,0.00012140285842886475,1.3291748909501625e-05,0.1260604592794652,0.01501827616271443
251.31502512562815,1700786.3767681487,1005.5846444166945,44.14292281057377,120328.31516742532,400336.73600877833,118636.97432783371,361807.6521040597,1967.744999985155,1279.9721290672235,0.00012047901023639762,1.3339751324349771e-05,0.12534855091563105,0.015105060826663939
251.9491457286432,1733635.0115074213,1003.0014590217196,45.02177431320418,121575.38925703372,400389.0033358243,119846.94210881289,361882.41318131366,1973.472557534654,1288.4261780661486,0.00011956212575425004,1.3388045574086271e-05,0.124637374485349,0.015192897397874851
252.5832663316583,1766943.915736915,1000.404947338124,45.91559919860239,122825.67814631798,400435.7091980523,121059.44946018605,361953.2773758257,1979.3240920107207,1297.0399430611085,0.00011865205408950996,1.343663842100639e-05,0.12392693538065128,0.015281815685224819
253.21738693467336,1800716.9927012266,997.79487530683,46.82466494337728,124079.23855090963,400476.76768621226,122274.54197723011,362020.1765951971,1985.3033993518334,1305.8189193582816,0.00011774864621236518,1.3485536858229944e-05,0.1232172391945988,0.015371846661954644
253.85150753768843,1834958.1616543825,995.1710022052331,47.74924635441602,125336.12863465621,400512.0905637082,123492.26646665872,362083.0408561067,1991.4144472187527,1314.7688543973345,0.0001168517548748024,1.3534748120018137e-05,0.12250829172386042,0.015463022524665044
254.4856281407035,1869671.3583348372,992.5330803608218,48.689625875619235,126596.4080712247,400541.5871704618,124712.67099955435,362141.7982069763,1997.661384752635,1323.8957620885965,0.00011596123452953995,1.358427969266315e-05,0.12180009897134265,0.015555376756067503
255.1197487437186,1904860.5354664526,989.8808548490096,49.64609391102455,127860.13810902051,400565.16432169074,125935.80496717282,362196.3746465106,2004.04855301191,1333.205938155164,0.00011507694124908985,1.3634139325988931e-05,0.12109266714888374,0.015648944191770525
255.75386934673367,1940529.663284565,987.214063174116,50.618949165417234,129127.38163964555,400582.72620125685,127161.71913981717,362246.69403782784,2010.5804961436543,1342.7059765631743,0.00011419873264481799,1.3684335045505364e-05,0.12038600268001795,0.015743761091408574
256.38798994974877,1976682.730090559,984.5324349323669,51.60849900358288,130398.20327012659,400594.1742492289,128390.4657289796,362292.6780178941,2017.2619733505212,1352.4027871308638,0.00011332646778588967,1.3734875165260647e-05,0.11968011220282969,0.015839865214445806
257.0221105527638,2013323.7428352495,981.8356914556679,52.615059829465096,131672.66939917975,400599.4070432743,129622.0984529858,362334.24590194406,2024.0979717201838,1362.3036144160556,0.00011246000711796288,1.3785768301440986e-05,0.11897500257290748,0.015937295901017175
257.65623115577887,2050456.7277304668,979.1235454348167,53.638957486589156,132950.8482977773,400598.3201734538,130856.67260637373,362371.31458254106,2031.0937199908233,1372.416057991399,0.00011159921238149516,1.3837023386770347e-05,0.11827068086641865,0.016036094158200908
258.290351758794,2088085.730895084,976.395700520726,54.68052768121859,134232.81019432712,400590.80610997474,132094.24513327508,362403.7984229153,2038.2547033333278,1382.7480942274142,0.0001107439465295256,1.388864968576765e-05,0.11756715438333165,0.016136302752151884
258.924472361809,2126214.819031475,973.6518509020788,55.740116429843546,135518.6273647789,400576.75406340614,133334.8747050766,362431.6091441706,2045.5866792390984,1393.3080997156037,0.00010989407364477992,1.3940656810923634e-05,0.11686443065081117,0.016237966306564672
259.55859296482413,2164848.0801381613,970.8916808577196,56.818080532723606,136808.37422801988,400556.04983682686,134578.62180267656,362454.6557059327,2053.095694611313,1404.1048764771215,0.00010904945885593439,1.3993054739864823e-05,0.11616251742681294,0.0163411314079775
260.1927135678392,2203989.624259393,968.1148642819678,57.91478807535392,138102.12744693324,400528.5756693373,135825.54880366032,362472.8441799691,2060.78810416742,1415.1476791174903,0.00010820996825288409,1.4045853833577944e-05,0.11546142270393014,0.016445846718476004
