Position X [mm],Radius Y [mm],Mach Number,T_Gas_Recovery [K],h_Gas [W/m2K],Channel Width [mm],Channel Height [mm],T_Wall_Hot [K],T_Wall_Cold [K],T_Coolant [K],P_Coolant [bar],Heat Flux [MW/m2],Coolant Velocity [m/s],Coolant Density [kg/m3],Coolant Quality
-45.18652134923835,36.78930603909723,0.08574032868817819,3059.3457066811966,1721.0462929266214,3.5104494705224334,0.75,450.90743893384473,301.26600523269417,296.5072655072577,54.406177946815134,4.489243011034517,24.67287523965532,220.91036282006726,0.779291502446422
-40.84454941101455,34.28246737174992,0.09887040108749831,3059.282188258927,1954.0312519132353,3.2341173322391663,0.75,469.87598602013964,301.21663125105454,296.5869694936724,54.4901135944306,5.059780643072553,25.76943866865756,229.5820066357818,0.7441118557316397
-36.50257747279075,31.775628704402603,0.11530296386467724,3059.190005631647,2239.999547486878,2.957785193955898,0.75,492.73501417951593,301.1064135295755,296.6802695421835,54.587137064553154,5.748858019498213,27.008284153506445,239.51623318941614,0.7070213922867835
-32.16060553456695,29.26879003705529,0.13628628493915196,3059.0518232743066,2596.707833119261,2.6814530556726286,0.75,520.9708197573129,301.2823256598539,296.7913468652213,54.700885593975,6.5906548229237725,28.424497313079137,251.0357574940127,0.667777181247211
-27.81863359634315,26.76195136970798,0.16373701185531778,3058.8364723433133,3050.1216300571255,2.4051209173893606,0.75,558.0416254589162,303.784010298333,296.9263931671051,54.83655372930559,7.627728454817496,30.068213260815813,264.5781896796484,0.6260902817397375
-23.476661658119355,24.25511270236067,0.20078376145510637,3058.483947608274,3639.445400118034,2.1287887791060935,0.75,601.9572638327952,303.9441058483327,297.0950062405415,55.0018584711823,8.940394739533875,32.00946912373626,280.7938127814026,0.5816371930231936
-19.134689719895555,21.74827403501336,0.2529244352402537,3057.8681471399577,4426.112251188656,1.8524566408228256,0.75,658.1082261233362,304.05466657922983,297.3129864002606,55.20880923483231,10.621606786323191,34.35606167830847,300.64026981926366,0.533926909164074
-14.792717781671755,19.241435367666046,0.33110674977005833,3056.685810166259,5510.523396051563,1.5761245025395567,0.75,731.2404434076157,304.0930734155085,297.6084474214413,55.477274332800356,12.814421099763214,37.28109954419011,325.62620252915565,0.48236073891107084
-10.45074584344796,16.73459670031874,0.4627430319705431,3054.0105018983336,7063.500424868652,1.2997923642562894,0.75,828.1051384457726,304.01568909695345,298.03700655833234,55.84283499579136,15.722683480464575,41.082514024247835,358.31714105589884,0.4261021923355816
-9.948010478964179,16.453506178474267,0.4837560900555549,3053.5060845708686,7278.079599716635,1.2688073846625938,0.75,840.8033739091885,303.995825285706,298.08886539058494,56.37651354736871,16.104226458704474,41.595037607930514,362.5445315895771,0.3638480476470329
-9.43772073509125,16.186374927079857,0.5055949715642752,3052.959815087116,7491.113939114018,1.2393611538932983,0.75,853.2534553738092,303.97842293360554,298.14395829708155,56.44137070782902,16.478250973206105,42.06790960139981,366.98622757267754,0.35645533711762517
-8.920264118691154,15.933405801854654,0.5282660854631999,3052.369215303181,7701.432342139649,1.2114760330023322,0.75,865.3727972438885,303.93929903770857,298.20230567394043,56.510338623838564,16.8430049461854,42.49620104118992,371.6495772348775,0.34885472573532605
-8.396033579048167,15.694790903998163,0.5517813903982989,3051.731593605684,7907.780383185046,1.1851731975587168,0.75,877.1354508104414,303.92782683223845,298.26389449005626,56.5834549574091,17.196228719346088,42.874958213285524,376.54167188708516,0.34104917899500853
